# SECTION,summary
session_id,mode,scenario,poc,total_steps,total_nodes,total_edges,reification_count,avg_abs_v_deviation,dvr_enabled,invert_food,regulating_always,v_low,v_high,v_star,v_init,decay_alpha,beta,bucket_edges_lo,bucket_edges_hi,stick_deadzone
20260605_173452,DVRoff,S1norm,always,61130,19,27,1,0.0,0,0,1,0.4,0.8,0.8,0.8,0.00022,0.001,0.05,0.15,0.3

# SECTION,action_log
seg_idx,action,duration_s,mean_tension,std_tension,mean_dv,mean_stick,max_stick
0,STOP,9.78,0.00718,0.023129,-5e-06,0.0,0.0
1,FORWARD,0.81,0.016925,0.010069,-0.001184,0.6762,0.7614
2,STOP,0.31,0.027994,0.000493,-3.9e-05,0.0,0.0
3,ROT_L,0.3,0.033554,0.004461,-0.001724,0.766,0.7948
4,STOP,0.31,0.077792,0.013074,-0.005612,0.0,0.0
5,ROT_L,0.14,0.068507,0.010866,0.008919,0.7466,0.7831
6,STOP,1.43,0.030732,0.01775,0.001177,0.0,0.0
7,FORWARD,13.71,0.030488,0.010892,-7.5e-05,0.981,1.0
8,STOP,0.22,0.028427,0.003668,0.002029,0.0,0.0
9,ROT_R,0.47,0.055383,0.024278,-0.007108,0.8082,0.9417
10,STOP,0.71,0.077142,0.035806,0.004204,0.0,0.0
11,ROT_R,0.15,0.016629,0.002386,0.002385,0.763,0.8981
12,STOP,1.46,0.020074,0.019999,0.000313,0.0,0.0
13,LEFT,1.15,0.05015,0.02662,-0.0023,1.0,1.0
14,STOP,0.65,0.048361,0.016049,0.002894,0.0,0.0
15,ROT_R,0.08,0.014312,0.000982,0.002547,0.3144,0.3164
16,STOP,0.71,0.021654,0.006937,0.000178,0.0,0.0
17,ROT_R,0.37,0.027842,0.023264,-0.007042,0.7226,0.8126
18,STOP,0.97,0.057816,0.038402,0.002761,0.0,0.0
19,ROT_L,2.59,0.101513,0.031495,-0.002196,0.796,0.7991
20,STOP,0.65,0.105645,0.044635,0.006906,0.0,0.0
21,ROT_L,2.61,0.081263,0.030081,-0.000945,0.7978,0.8164
22,STOP,0.65,0.069192,0.030815,0.004891,0.0,0.0
23,ROT_L,0.12,0.021165,0.001255,0.002688,0.5049,0.6069
24,STOP,0.55,0.020631,0.004938,0.000146,0.0,0.0
25,FORWARD,10.09,0.032818,0.015995,-0.000208,0.9764,0.9901
26,ROT_R,0.85,0.138489,0.041318,-0.006199,0.8869,0.9193
27,LEFT,1.13,0.220992,0.015696,-0.001701,0.988,1.0
28,BACK,0.68,0.1946,0.043524,0.007223,0.9583,0.987
29,STOP,0.27,0.12443,0.004045,0.002285,0.0,0.0
30,LEFT,2.35,0.129078,0.018824,0.00037,0.9738,1.0
31,STOP,1.15,0.040775,0.035666,0.002957,0.0,0.0
32,ROT_L,4.52,0.087981,0.03254,-0.001156,0.8225,0.8269
33,STOP,0.73,0.075606,0.037424,0.006265,0.0,0.0
34,ROT_R,0.72,0.057041,0.036084,-0.005019,0.8233,0.8704
35,STOP,1.12,0.06132,0.055393,0.003777,0.0,0.0
36,ROT_L,1.73,0.080328,0.033143,-0.001647,0.8059,0.814
37,STOP,0.81,0.060761,0.02587,0.002579,0.0,0.0
38,RIGHT,1.86,0.058903,0.017057,-0.000798,0.9571,1.0
39,STOP,0.86,0.049917,0.017399,0.002403,0.0,0.0
40,ROT_L,0.11,0.01361,0.000927,0.002158,0.6119,0.6286
41,STOP,0.78,0.02905,0.01075,-0.00017,0.0,0.0
42,ROT_L,0.08,0.014931,0.000556,0.000856,0.4397,0.4586
43,STOP,0.93,0.02487,0.009424,-8.4e-05,0.0,0.0
44,BACK,1.8,0.02441,0.004517,-7.7e-05,0.8286,0.868
45,STOP,0.39,0.019381,0.001658,0.000179,0.0,0.0
46,ROT_R,0.8,0.083068,0.041595,-0.006222,0.8451,0.9034
47,STOP,1.05,0.087312,0.066468,0.00487,0.0,0.0
48,ROT_L,0.71,0.095771,0.060298,-0.007794,0.7429,0.8171
49,STOP,0.52,0.101277,0.02816,0.005979,0.0,0.0
50,ROT_L,0.24,0.036494,0.006292,0.004241,0.6756,0.8276
51,STOP,0.56,0.058608,0.012325,-0.000575,0.0,0.0
52,ROT_L,0.15,0.033022,0.002583,0.002494,0.7009,0.7855
53,STOP,0.93,0.039854,0.014901,0.000396,0.0,0.0
54,BACK,0.35,0.017613,0.004146,-0.000932,0.8162,0.8975
55,STOP,2.74,0.016817,0.016543,-0.000119,0.0,0.0
56,FORWARD,0.2,0.022749,0.005681,0.004224,0.8979,1.0
57,STOP,0.08,0.012146,0.000844,0.002065,0.0,0.0
58,BACK,0.11,0.008053,0.001443,0.001272,0.8696,0.9134
59,RIGHT,0.12,0.004658,0.000508,0.000712,0.9472,1.0
60,ROT_L,0.06,0.003633,0.000131,0.000288,0.9889,0.9889
61,FORWARD,0.05,0.003244,0.0,0.000257,1.0,1.0
62,LEFT,0.05,0.002976,0.0,0.000268,1.0,1.0
63,BACK,0.17,0.002375,0.000252,0.000228,0.9322,1.0
64,RIGHT,0.15,0.001832,0.000102,0.00012,1.0,1.0
65,FORWARD,0.12,0.001552,5.8e-05,7.5e-05,0.9351,1.0
66,LEFT,0.06,0.001436,0.0,4.4e-05,0.9172,0.9172
67,BACK,0.15,0.001348,3.4e-05,3.3e-05,0.9683,0.9941
68,RIGHT,0.1,0.001274,1.1e-05,1.3e-05,1.0,1.0
69,FORWARD,0.11,0.001283,4e-06,-6e-06,0.9981,1.0
70,LEFT,0.12,0.001264,4e-06,7e-06,1.0,1.0
71,BACK,0.14,0.001257,1e-05,-1e-06,0.9109,0.9652
72,STOP,1856.84,0.002363,0.006372,-0.0,0.0,0.0
73,BACK,0.07,0.00134,0.0,1e-05,0.4885,0.4885
74,ROT_L,0.06,0.001343,0.0,-3e-06,0.9438,0.9438
75,RIGHT,0.23,0.001338,4e-06,1e-06,0.9713,1.0
76,STOP,0.07,0.001338,0.0,-4e-06,0.0,0.0
77,FORWARD,0.05,0.001337,0.0,1e-06,0.3158,0.3158
78,LEFT,0.17,0.001339,6e-06,-1e-06,0.896,1.0
79,BACK,0.19,0.001361,9e-06,-5e-06,0.9894,1.0
80,ROT_L,0.09,0.001366,1e-06,2e-06,1.0,1.0
81,RIGHT,0.33,0.001352,8e-06,3e-06,0.9107,1.0
82,FORWARD,0.19,0.001346,9e-06,-4e-06,0.4014,0.4493
83,STOP,0.49,0.001347,8e-06,1e-06,0.0,0.0
84,FORWARD,0.39,0.001357,4e-06,-0.0,0.8703,0.9518
85,LEFT,0.55,0.001356,6e-06,-0.0,0.9931,1.0
86,STOP,0.81,0.001364,6e-06,-0.0,0.0,0.0
87,LEFT,0.65,0.001346,1.2e-05,-0.0,1.0,1.0
88,STOP,0.24,0.001347,9e-06,4e-06,0.0,0.0
89,ROT_L,0.06,0.001337,3e-06,3e-06,0.5037,0.5037
90,STOP,0.3,0.001341,5e-06,-0.0,0.0,0.0
91,RIGHT,0.06,0.001348,0.0,-1.2e-05,0.4526,0.4526
92,STOP,0.12,0.001355,3e-06,-2e-06,0.0,0.0
93,ROT_L,0.23,0.001356,8e-06,2e-06,0.8347,0.8504
94,STOP,0.06,0.001353,0.0,-1e-05,0.0,0.0
95,RIGHT,0.06,0.001347,0.0,6e-06,1.0,1.0
96,ROT_L,0.07,0.00135,1e-06,-1e-06,0.5791,0.8053
97,STOP,0.35,0.001361,8e-06,-2e-06,0.0,0.0
98,ROT_R,0.19,0.001359,9e-06,5e-06,0.4748,0.6411
99,STOP,0.35,0.001349,8e-06,0.0,0.0,0.0
100,ROT_L,0.06,0.001341,0.0,6e-06,0.3925,0.3925
101,STOP,1.51,0.001344,1.2e-05,-0.0,0.0,0.0
102,ROT_L,0.47,0.001357,1e-05,-2e-06,0.7094,0.8393
103,STOP,5.85,0.001353,1.2e-05,0.0,0.0,0.0
104,ROT_L,0.28,0.00135,1.1e-05,-1e-06,0.4893,0.4994
105,BACK,0.56,0.001368,1e-05,1e-06,0.8152,0.8515
106,STOP,0.59,0.001349,7e-06,1e-06,0.0,0.0
107,FORWARD,0.44,0.001356,7e-06,-1e-06,0.8809,0.9524
108,RIGHT,0.72,0.001364,6e-06,-1e-06,0.9647,1.0
109,BACK,0.54,0.001363,1.3e-05,3e-06,0.8925,0.8963
110,ROT_R,0.52,0.001342,8e-06,0.0,0.9221,0.9811
111,STOP,8.04,0.001351,1.3e-05,-0.0,0.0,0.0
112,FORWARD,1.52,0.001343,1.4e-05,-0.0,0.5238,0.6731
