# SECTION,summary
session_id,mode,scenario,poc,total_steps,total_nodes,total_edges,reification_count,avg_abs_v_deviation,dvr_enabled,invert_food,regulating_always,v_low,v_high,v_star,v_init,decay_alpha,beta,bucket_edges_lo,bucket_edges_hi,stick_deadzone
20260526_124850,DVRoff,S1norm,always,6656,21,35,0,0.0,0,0,1,0.4,0.8,0.8,0.8,0.00022,0.001,0.05,0.15,0.3

# SECTION,action_log
seg_idx,action,duration_s,mean_tension,std_tension,mean_dv,mean_stick,max_stick
0,STOP,7.89,0.011068,0.024679,-6e-05,0.0,0.0
1,FORWARD,2.05,0.063936,0.023236,-0.0018,0.7558,0.885
2,STOP,6.9,0.027272,0.033244,0.000526,0.0,0.0
3,FORWARD,0.38,0.018791,0.010779,-0.00236,0.8021,0.8962
4,STOP,0.66,0.042564,0.002123,-0.000505,0.0,0.0
5,FORWARD,0.79,0.034584,0.003845,0.00013,0.5462,0.6088
6,STOP,0.03,0.03876,0.0,0.000645,0.0,0.0
7,ROT_R,0.37,0.040282,0.006863,-0.001734,0.5207,0.5622
8,STOP,0.43,0.05309,0.002634,0.00058,0.0,0.0
9,FORWARD,3.34,0.044139,0.011649,0.000242,0.4919,0.5389
10,STOP,0.87,0.017254,0.003786,0.000717,0.0,0.0
11,LEFT,1.38,0.071909,0.049515,-0.00403,0.928,1.0
12,STOP,5.1,0.034474,0.045974,0.001245,0.0,0.0
13,FORWARD,1.08,0.019009,0.009701,-0.001168,0.5067,0.5247
14,ROT_R,0.26,0.032662,0.001998,-0.00132,0.5967,0.6264
15,FORWARD,2.61,0.034064,0.008774,0.000137,0.7132,0.9438
16,STOP,0.93,0.017262,0.008524,0.001046,0.0,0.0
17,ROT_R,0.06,0.004662,0.0,0.000652,0.3017,0.3017
18,STOP,1.73,0.004875,0.001674,2.5e-05,0.0,0.0
19,ROT_R,0.11,0.00333,0.000117,0.000178,0.3645,0.3654
20,STOP,0.48,0.013133,0.006298,-0.001541,0.0,0.0
21,FORWARD,1.33,0.020508,0.003414,0.000164,0.8531,0.9079
22,STOP,0.26,0.017538,0.001217,-0.000846,0.0,0.0
23,ROT_R,0.21,0.022156,0.002112,-0.001182,0.7357,0.8886
24,STOP,7.91,0.019489,0.016236,-0.000162,0.0,0.0
25,FORWARD,20.43,0.038117,0.017295,-6.2e-05,0.9971,1.0
26,STOP,1.22,0.059599,0.02335,0.002056,0.0,0.0
27,ROT_R,0.2,0.017181,0.002262,-0.000113,0.7629,0.9193
28,STOP,0.66,0.069535,0.014499,-0.002281,0.0,0.0
29,ROT_R,0.12,0.056495,0.001739,0.001986,0.7054,0.8073
30,STOP,0.36,0.057825,0.009771,-0.001866,0.0,0.0
31,ROT_R,0.1,0.061101,0.00148,0.004712,0.673,0.6953
32,STOP,0.28,0.05834,0.006048,-0.001065,0.0,0.0
33,ROT_R,0.17,0.065099,0.005988,0.002751,0.7572,0.9039
34,STOP,0.42,0.057816,0.004556,-0.000905,0.0,0.0
35,ROT_R,0.14,0.064142,0.001356,-4.2e-05,0.8988,0.901
36,STOP,0.83,0.051398,0.008485,0.001584,0.0,0.0
37,ROT_R,1.42,0.074554,0.021853,-0.001889,0.8768,0.9051
38,STOP,1.51,0.048391,0.032718,0.002826,0.0,0.0
39,ROT_R,0.17,0.004687,0.000248,0.000352,0.8444,0.9116
40,STOP,0.36,0.027224,0.016791,-0.005728,0.0,0.0
41,ROT_R,0.16,0.040263,0.003733,0.004875,0.5215,0.551
42,STOP,0.45,0.039793,0.004943,-8.7e-05,0.0,0.0
43,ROT_R,0.19,0.027887,0.003832,0.002666,0.6556,0.8503
44,STOP,2.55,0.016306,0.014043,0.000344,0.0,0.0
45,FORWARD,8.05,0.033304,0.02102,-0.000582,0.9527,0.9895
46,RIGHT,0.2,0.105951,0.0071,0.002279,0.9115,0.9906
47,STOP,0.78,0.100134,0.021686,0.002468,0.0,0.0
48,FORWARD,3.86,0.035696,0.011066,-8.4e-05,0.9836,1.0
49,STOP,2.41,0.024989,0.026696,0.001,0.0,0.0
50,RIGHT,1.14,0.079118,0.049507,-0.003666,0.9566,1.0
51,STOP,1.57,0.050949,0.042881,0.002561,0.0,0.0
52,FORWARD,2.78,0.037589,0.021756,-0.001196,0.9878,1.0
53,RIGHT,1.11,0.112103,0.018287,-0.003134,0.9994,1.0
54,FORWARD,2.77,0.104746,0.037405,0.000372,0.9713,1.0
55,RIGHT,0.11,0.143472,0.005476,0.001592,0.8559,0.9039
56,STOP,1.32,0.098151,0.046436,0.003846,0.0,0.0
57,ROT_R,0.21,0.017931,0.001102,-0.000105,0.8342,0.9523
58,STOP,1.08,0.057335,0.016882,-0.000443,0.0,0.0
59,FORWARD,0.84,0.049603,0.016883,-0.001546,0.9255,0.9462
60,STOP,1.97,0.028235,0.018689,0.001058,0.0,0.0
61,RIGHT,0.7,0.047279,0.033477,-0.005679,0.9585,1.0
62,STOP,2.69,0.082987,0.048648,0.001571,0.0,0.0
63,FORWARD,3.57,0.04001,0.014887,-0.000282,0.8796,0.9054
64,STOP,10.01,0.043231,0.021195,6.2e-05,0.0,0.0
65,FORWARD,0.7,0.045885,0.023178,-0.004268,0.8333,0.89
66,STOP,42.48,0.037357,0.046081,6.6e-05,0.0,0.0
67,FORWARD,0.74,0.024865,0.009129,-0.002031,0.393,0.4079
68,ROT_L,2.36,0.117801,0.025667,-0.000992,0.7256,0.788
69,STOP,5.45,0.074725,0.026424,0.000613,0.0,0.0
70,FORWARD,1.41,0.039686,0.012726,-0.001426,0.469,0.4821
